Country,Life Expectancy,Homicide Rate,Mean years of schooling,Gross national income (GNI) per capita,kg meat/person,cal,has_uhc,happiness_index,genetic_index,level of human development
Mongolia,70.056,6.18,9.423700333,10588.22532,88.38,2579.0,0.0,5.677,35.0,3
Mozambique,61.387,3.51,3.197641838,1198.073924,9.39,2103.0,0.0,4.794,30.6,1
Mauritius,74.1770731707317,2.92,10.42791048,22025.34631,50.9,3051.0,1.0,6.049,23.2,4
Malawi,64.694,1.81,4.489695385,1465.635064,20.34,2392.0,0.0,3.6,22.6,1
Malaysia,76.306,2.13,10.64505959,26657.94355,52.9,2845.0,1.0,5.384,18.4,4
Namibia,64.045,17.68,7.192013277,8633.504452,30.53,2469.0,0.0,4.574,22.6,2
Niger,62.792,4.43,2.116717299,1239.866936,12.75,2601.0,0.0,5.074,21.0,1
Nigeria,55.018,34.52,7.181074153,4790.284425,7.15,2572.0,0.0,4.759,16.9,1
Nicaragua,74.697,7.19,7.144,5624.793595,30.82,2582.0,0.0,5.972,15.3,2
Netherlands,81.409756097561,0.59,12.58162975,55979.411,75.82,3297.0,1.0,7.464,10.3,4
Norway,83.209756097561,0.47,13.00362968,64660.10622,67.47,3371.0,1.0,7.392,8.7,4
Nepal,71.067,2.3,5.121792742,3877.315444,13.55,2769.0,0.0,5.269,21.5,2
New Zealand,82.0560975609756,0.74,12.94468975,44057.31394,100.9,3191.0,1.0,7.277,10.3,4
Pakistan,67.428,3.88,4.536330223,4623.70543,16.87,2486.0,1.0,4.934,29.4,1
Panama,78.68,9.39,10.54059029,26956.83707,65.02,2851.0,0.0,6.18,10.7,4
Peru,76.947,7.91,9.885518863,12245.89366,24.41,2775.0,1.0,5.84,9.7,3
Philippines,71.36,6.46,8.969099998,8920.428468,37.04,2662.0,1.0,5.88,24.5,2
Poland,76.6,0.73,13.1647501,33033.96081,88.71,3537.0,0.0,6.166,17.0,4
Portugal,80.9756097560976,0.79,9.575940132,33154.53343,94.07,3480.0,1.0,5.929,11.0,4
Paraguay,74.363,7.14,8.861840248,12349.286,54.07,2768.0,0.0,5.653,16.0,3
Romania,74.3536585365854,1.28,11.27511978,30027.29131,63.92,3581.0,1.0,6.14,21.0,4
Rwanda,69.329,2.58,4.425292358,2209.795202,9.08,2188.0,1.0,3.415,20.2,1
Saudi Arabia,75.28,1.27,11.31052971,46111.55135,54.13,3307.0,1.0,6.494,20.9,4
Senegal,68.213,0.27,2.937938258,3344.311825,14.13,2545.0,0.0,5.132,19.5,1
Sierra Leone,55.066,1.73,4.576081285,1621.512579,8.23,2369.0,0.0,3.849,23.5,1
El Salvador,73.533,52.02,7.150929928,8295.665889,30.52,2696.0,0.0,6.061,10.7,2
Serbia,74.2292682926829,1.23,11.36987019,19123.02747,53.49,2828.0,1.0,6.078,22.0,4
Slovenia,80.5317073170732,0.48,12.80368042,39746.01987,76.4,3191.0,0.0,6.461,11.4,4
Sweden,82.4073170731707,1.08,12.60972023,54489.37401,77.07,3184.0,1.0,7.363,8.4,4
Thailand,77.344,2.58,8.697119713,17030.15352,27.37,2804.0,1.0,5.985,13.7,4
Tajikistan,71.301,1.64,11.3333938,4547.742427,16.47,2109.0,0.0,5.466,28.3,2
Turkmenistan,68.313,4.22,11.26139,13020.7155,60.22,2830.0,0.0,5.066,27.7,3
Tunisia,76.891,3.06,7.431598614,10257.54477,28.36,3450.0,1.0,4.596,15.7,3
Uganda,63.713,10.52,5.730941566,2181.43651,9.69,1981.0,0.0,4.636,21.2,1
Ukraine,71.1851219512195,6.18,11.13142043,13255.50977,46.92,3102.0,0.0,4.875,25.5,3
Uruguay,78.056,12.06,8.982549667,21268.88122,57.7,3202.0,0.0,6.431,16.5,4
Uzbekistan,71.848,1.14,11.89558983,7916.785725,34.41,3011.0,0.0,6.179,25.3,3
South Africa,64.379,36.4,11.37316036,12948.37325,60.03,2899.0,1.0,4.956,24.1,3
Zambia,64.194,5.37,7.187091494,3217.767739,13.12,2002.0,0.0,4.073,24.6,2
Zimbabwe,61.738,7.48,8.710908501,3809.887158,17.67,1908.0,0.0,3.145,28.4,2
