,Country,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),Overall loss (%),Difference from HDI rank,Coefficient of human inequality nan,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income shares held by (%) Poorest 40 percent,Richest 10 percent, Richest 1 percent,Gini coefficient,Level of human development,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,kg meat/person,cal,has_uhc
127,Cabo Verde,0.662,-99.9,-99.9,-99.9,-99.9,8.794361115,0.7584352233668066,27.38759118,0.40541681344177966,-99.9,-99.9,15.4,32.3,13.91,42.4,Medium,74.0518,12.55461444,6.287719287,6230.200199,2.0,127.0,32.18,2541.0,0.0
145,Cambodia,0.593,0.479,19.22428330522765,11.0,19.004506023333334,15.36655807,0.6456034258363316,27.30485,0.3548597592772222,14.34211,0.4798293233180527,-99.9,-99.9,18.56,-99.9,Medium,69.5835,11.46772,5.088,4078.697154,3.0,148.0,12.34,2492.0,0.0
39,Andorra,0.858,-99.9,-99.9,-99.9,-99.9,5.297909737,0.8795405639742906,10.00815435,0.6491007377198892,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,Very high,80.3684,13.30023874,10.55511952,51166.62661,-19.0,45.0,-99.9,-99.9,0.0
147,Angola,0.586,0.407,30.546075085324233,-2.0,30.412167566666668,28.1877327,0.4600779957047415,34.17144,0.34144851649399055,28.87733,0.4298536004200751,11.5,39.6,25.98,51.3,Medium,61.6434,12.1721,5.417390823,5465.617791,-14.0,149.0,23.49,2385.0,0.0
70,Antigua and Barbuda,0.788,-99.9,-99.9,-99.9,-99.9,4.746305943,0.8572363523866949,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,High,78.4968,14.18462641,9.293740746,16792.36595,2.0,71.0,72.05,2445.0,0.0
150,Cameroon,0.576,0.393,31.770833333333325,-6.0,31.729938353333335,28.48371506,0.44376845030753775,31.71699,0.3886473795324923,34.98911,0.35248049844689705,13.0,35.0,15.85,46.6,Medium,60.3334,13.10859922,6.15131,3620.932408,6.0,150.0,11.98,2733.0,0.0
45,Hungary,0.846,0.792,6.382978723404253,6.0,6.370349719666667,3.953909159,0.8057542981798176,2.86309,0.8022735988995299,12.29405,0.7674422260237047,21.4,23.3,12.27,30.0,Very high,74.5301,15.0336281,12.24958992,32789.01063,-2.0,44.0,79.73,3316.0,0.0
84,Armenia,0.759,0.688,9.354413702239794,13.0,9.136398122333333,7.035874367,0.7443294287278126,2.93495,0.7202528864333395,17.43837,0.6085566125061732,24.5,21.5,15.39,25.2,High,72.0431,13.11676025,11.33030033,13157.9939,4.0,87.0,45.64,2997.0,0.0
136,Honduras,0.621,0.479,22.866344605475042,4.0,22.2190672,10.1333456,0.6929811279731939,21.61233,0.40585194727859525,34.911526,0.39032064820372386,11.6,34.6,20.75,48.2,Medium,70.1229,10.13281417,7.088479996,5297.955301,-1.0,138.0,33.09,2673.0,0.0
107,Guyana,0.714,0.591,17.226890756302527,3.0,17.094938996666666,15.75936699,0.5919317119567591,10.42545,0.5683926834859577,25.1,0.6126037631082059,-99.9,-99.9,20.75,-99.9,High,65.6734,12.50272216,8.617477,22464.65734,-47.0,107.0,45.22,2913.0,0.0
162,Haiti,0.535,0.327,38.87850467289719,-12.0,38.11928169666667,26.58240509,0.48785878867548976,37.33677,0.2848531184177778,50.43867,0.2507256578799821,15.8,31.2,20.75,41.1,Low,63.1924,9.7,5.554,2847.500746,2.0,162.0,17.61,2121.0,0.0
