,Country,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),Overall loss (%),Difference from HDI rank,Coefficient of human inequality nan,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income shares held by (%) Poorest 40 percent,Richest 10 percent, Richest 1 percent,Gini coefficient,Level of human development,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,kg meat/person,cal,has_uhc
29,Italy,0.895,0.791,11.620111731843574,-7.0,11.221309115000002,2.737157345,0.9404598636054279,10.05442,0.7274329281798559,20.87235,0.7243382122710575,18.3,25.9,8.71,35.2,Very high,82.8502,16.22678947,10.7401104,42839.51441,0.0,32.0,80.96,3503.0,1.0
21,Israel,0.919,0.815,11.316648531011975,-8.0,10.868130240666666,3.198390722,0.9271360285541369,6.272,0.8348230501764445,23.134,0.7000128347046591,16.1,27.6,16.55,38.6,Very high,82.255,16.05088997,13.3448664,41523.74319,10.0,22.0,97.02,3528.0,1.0
7,Ireland,0.945,0.886,6.24338624338624,2.0,6.161783203,2.825729609,0.9268571609220095,3.39666,0.8559771764409734,12.26296,0.8773704,21.8,25.1,11.8,30.6,Very high,81.9976,18.94522095,11.58222303,76168.98443,-3.0,8.0,76.85,3885.0,1.0
32,Greece,0.887,0.791,10.822998872604284,-4.0,10.662714364000001,3.612533092,0.8913705335876962,11.73784,0.7769579738025728,16.63777,0.7139816239131734,19.6,24.9,10.8,33.1,Very high,80.1106,20.02878952,11.40853024,29002.48545,17.0,33.0,71.7,3382.0,1.0
123,Morocco,0.683,0.504,26.207906295754036,-4.0,25.097691306666665,10.91862392,0.7406348950735003,41.87093,0.3431409030238218,22.50352,0.5022987152943079,17.4,31.9,15.14,39.5,Medium,74.0419,14.15190983,5.916,7302.81917,1.0,122.0,35.12,3412.0,1.0
96,Egypt,0.731,0.519,29.00136798905608,-21.0,28.03942983,10.67237949,0.690168558668701,36.94291,0.4426981003501509,36.503,0.4570274437226514,21.8,26.9,19.93,31.5,High,70.2207,13.78649972,9.573026174,11731.69056,4.0,97.0,26.29,3292.0,1.0
9,Netherlands,0.941,0.878,6.695005313496272,1.0,6.6979453520000005,3.334346056,0.9173912606984169,4.86674,0.8746434514101616,11.89275,0.8421428151389985,22.3,23.9,6.92,29.2,Very high,81.6873,18.69316522,12.58162975,55979.411,3.0,10.0,75.82,3297.0,1.0
164,Rwanda,0.534,0.402,24.71910112359551,11.0,24.64764153,19.39137459,0.5713564171714772,27.35907,0.33377137669279694,27.19248,0.3404412221986563,15.8,35.6,19.89,43.7,Low,66.0722,11.23097038,4.425292358,2209.795202,6.0,165.0,9.08,2188.0,1.0
51,Russia,0.822,0.751,8.63746958637469,1.0,8.408886355,5.545659065,0.7181290884102715,2.036,0.846178077356311,17.645,0.6972185096696227,19.1,29.0,20.97,36.0,Very high,69.419,15.76636982,12.77428805,27166.30891,-1.0,49.0,76.62,3345.0,1.0
52,Romania,0.821,0.733,10.71863580998782,1.0,10.409186177333334,4.896038532,0.7927968647623292,5.43438,0.7292071614348832,20.89714,0.6816502181506474,17.8,24.5,14.41,34.8,Very high,74.1847,14.22990036,11.27511978,30027.29131,-4.0,53.0,63.92,3581.0,1.0
41,Chile,0.855,0.722,15.555555555555555,-8.0,14.973030491333331,4.907827854,0.8623177613673463,11.73821662,0.7319172109342384,28.273047,0.5963278589436004,15.0,35.8,27.07,44.9,Very high,78.9435,16.73130035,10.9349663,24563.24486,14.0,43.0,83.17,3029.0,1.0
78,China,0.768,0.651,15.234375,-3.0,14.778059608333331,5.263178825,0.8484148732879342,11.68,0.5730068392635733,27.391,0.5665015861263647,17.4,29.5,14.0,38.2,High,78.2107,14.2361149,7.600118446,17504.39969,-8.0,82.0,60.6,3206.0,1.0
37,Portugal,0.866,0.773,10.739030023094687,-4.0,10.569893086333332,3.195029259,0.9091371808315118,13.05276,0.6850079693328205,15.46189,0.7411387624965826,20.4,26.0,9.59,32.8,Very high,81.0443,16.87122917,9.575940132,33154.53343,3.0,39.0,94.07,3480.0,1.0
115,Philippines,0.699,0.574,17.882689556509302,2.0,17.523781663333335,14.38008499,0.6489515355151791,10.0958,0.5966015178239388,28.09546,0.4877864323998418,16.1,33.5,16.88,42.3,Medium,69.2664,13.12656975,8.969099998,8920.428468,-3.0,113.0,37.04,2662.0,1.0
83,Peru,0.762,0.635,16.666666666666664,-3.0,16.422134383666666,8.638419151,0.7361902129184599,14.32733,0.648502992226289,26.300654,0.5352356663534742,14.4,32.9,21.21,43.8,High,72.3769,15.38773354,9.885518863,12245.89366,13.0,85.0,24.41,2775.0,1.0
57,Costa Rica,0.809,0.664,17.923362175525337,-17.0,16.960651333666664,5.891644001,0.8255937855080273,11.57677,0.6658918301607827,33.41354,0.532789411377241,12.1,37.0,19.13,49.3,Very high,77.0232,16.54577065,8.804059982,19974.27358,8.0,57.0,53.56,3029.0,1.0
40,Croatia,0.858,0.797,7.109557109557107,4.0,6.984191534,3.756904602,0.8525716815776921,4.24197,0.7911049876673304,12.9537,0.7505599120763053,21.7,22.2,10.24,28.9,Very high,77.5804,15.11209965,12.19108434,30132.28814,8.0,41.0,75.3,3074.0,1.0
82,Cuba,0.764,-99.9,-99.9,-99.9,-99.9,4.628062248,0.7876680303302833,9.09712,0.7433921669669408,-99.9,-99.9,-99.9,-99.9,16.68,-99.9,High,73.6829,14.44305992,12.49773438,7878.847482,37.0,73.0,55.48,3344.0,1.0
28,Cyprus,0.896,0.819,8.59375000000001,2.0,8.399155342333332,2.644016027,0.9166934605991863,9.5209,0.7684810690312338,13.03255,0.7810060242710946,21.3,25.5,11.49,31.2,Very high,81.2033,15.64826965,12.44017029,38188.42152,9.0,29.0,72.83,3019.0,1.0
160,Pakistan,0.544,0.38,30.147058823529417,0.0,29.21919322333333,26.89546967,0.5184562044152778,43.52795,0.22121272617027005,17.23416,0.47930912211070104,22.7,25.5,16.82,29.6,Low,66.0979,8.658349991,4.536330223,4623.70543,-19.0,161.0,16.87,2486.0,1.0
31,Czech Republic,0.889,0.85,4.386951631046121,14.0,4.378451582666667,3.112524748,0.8604844980907742,1.25563,0.8684801378274236,8.7672,0.8213055625943588,24.6,21.5,10.04,25.3,Very high,77.7283,16.21968079,12.86931038,38745.21386,4.0,30.0,82.79,3277.0,1.0
1,Norway,0.961,0.908,5.515088449531735,0.0,5.435151510666667,2.541614532,0.9481036616684563,2.3324,0.9116824340447893,11.43144,0.8658390101651616,22.9,22.4,8.88,27.7,Very high,83.2339,18.18519974,13.00362968,64660.10622,6.0,1.0,67.47,3371.0,1.0
77,North Macedonia,0.77,0.686,10.909090909090901,7.0,10.646825405,4.415046215,0.7917595829561658,8.36817,0.6591946197575874,19.15726,0.6191386480545528,18.5,23.0,6.52,33.0,High,73.8415,13.62443234,10.22815037,15917.75283,-3.0,79.0,36.62,3072.0,1.0
191,North Korea,-99.9,-99.9,-99.9,-99.9,-99.9,10.96100235,0.729907456966373,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,14.76,-99.9,n/a,73.2845,10.78317,-99.9,-99.9,-99.9,-99.9,13.67,2019.0,1.0
5,Denmark,0.948,0.898,5.2742616033755185,3.0,5.1869137216666665,3.006301165,0.91584882524735,2.50376,0.9086808886605784,10.05068,0.8699974602896611,23.5,23.5,12.91,27.7,Very high,81.3753,18.71479988,12.96049023,60364.78595,6.0,5.0,70.83,3401.0,1.0
13,New Zealand,0.937,0.865,7.684098185699051,0.0,7.486808253666666,4.170894623,0.9207157244047139,1.840131778,0.9143490211215581,16.44939836,0.768363786821576,-99.9,-99.9,11.87,-99.9,Very high,82.4513,20.28388977,12.94468975,44057.31394,16.0,13.0,100.9,3191.0,1.0
36,Saudi Arabia,0.875,-99.9,-99.9,-99.9,-99.9,5.103935719,0.8312311255235411,18.11940114,0.6756997649399277,-99.9,-99.9,-99.9,-99.9,20.98,-99.9,Very high,76.936,16.13549042,11.31052971,46111.55135,-10.0,38.0,54.13,3307.0,1.0
16,Luxembourg,0.93,0.85,8.602150537634412,0.0,8.413193197,3.870309591,0.9262273141104828,4.71707,0.7944577039863453,16.6522,0.8334779999999999,19.1,25.8,10.37,34.2,Very high,82.6287,14.39813995,13.01519217,84649.47467,-13.0,17.0,80.08,3465.0,1.0
